"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","2","red","frc623","frc4821","frc5587","89","26","55","3"
"2","11","red","frc1719","frc4821","frc686","62","20","42","2"
"3","25","blue","frc4099","frc3136","frc4821","77","22","55","2"
"4","33","blue","frc1262","frc4821","frc8726","65","12","53","1"
"5","41","red","frc1610","frc4821","frc1086","78","16","62","3"
"6","52","red","frc4821","frc614","frc1111","67","18","49","4"
"7","61","blue","frc401","frc6504","frc4821","94","28","58","4"
"8","75","blue","frc1599","frc1895","frc4821","78","26","52","4"
"9","86","red","frc449","frc8592","frc4821","62","10","48","1"
"10","100","blue","frc4821","frc3274","frc5549","53","16","29","1"
"11","108","blue","frc4821","frc8622","frc2199","53","12","41","2"
"12","120","red","frc4821","frc7429","frc122","68","22","46","3"
