"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","7","blue","frc5002","frc7111","frc8788","54","9","20","None","NotLevel","12","24","Park","Level","0"
"2","12","blue","frc8788","frc6936","frc5472","120","9","27","None","Level","46","68","Park","Level","2"
"3","17","blue","frc3959","frc2438","frc8788","113","12","27","None","Level","39","61","Park","Level","4"
"4","27","blue","frc179","frc8788","frc4576","108","16","22","None","Level","47","61","Docked","NotLevel","3"
"5","36","red","frc8788","frc7072","frc3284","107","10","31","None","Level","34","56","Park","Level","3"
"6","46","red","frc8044","frc5045","frc8788","79","12","30","None","Level","22","44","None","Level","1"
"7","52","red","frc6517","frc8788","frc2556","67","13","16","None","NotLevel","24","36","Park","Level","0"
"8","63","red","frc8788","frc34","frc7428","89","12","27","None","Level","30","52","Park","Level","1"
"9","71","red","frc6302","frc8788","frc6184","27","6","12","None","Level","8","10","Park","Level","0"
"10","84","blue","frc8788","frc7430","frc4499","88","9","24","None","Level","38","44","Docked","NotLevel","2"
