"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","tele_gpp","tele_p","rp"
"1","5","blue","frc1102","frc2056","frc8724","179","29","47","65","87","4"
"2","18","red","frc9038","frc8729","frc1102","99","12","27","44","52","0"
"3","30","red","frc1102","frc70","frc1884","146","18","24","57","87","4"
"4","51","blue","frc1102","frc6002","frc2847","180","28","49","61","91","4"
"5","59","blue","frc1102","frc2607","frc4476","137","18","39","53","73","4"
"6","68","blue","frc624","frc1102","frc1619","182","34","52","60","90","4"
"7","78","red","frc2468","frc3130","frc1102","187","22","43","72","94","4"
"8","100","red","frc972","frc1102","frc324","175","24","38","70","92","4"
"9","110","red","frc7563","frc27","frc1102","144","18","39","58","80","2"
"10","126","blue","frc6078","frc1102","frc687","180","16","33","75","97","4"
