"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc1561","frc3039","frc3179","93","9","24","Docked","Level","36","54","Docked","NotLevel","3"
"2","6","red","frc3937","frc3039","frc1939","90","13","24","Docked","NotLevel","29","51","Docked","Level","3"
"3","11","blue","frc1038","frc16","frc3039","121","12","27","None","Level","44","64","Docked","Level","4"
"4","18","red","frc3039","frc5002","frc7430","64","6","21","Docked","Level","22","28","Docked","NotLevel","0"
"5","24","red","frc3039","frc5454","frc3102","83","18","33","None","Level","27","35","Docked","NotLevel","2"
"6","27","red","frc4265","frc3039","frc6055","102","12","30","Docked","Level","37","57","Park","Level","3"
"7","32","blue","frc3039","frc6586","frc9067","105","10","28","Docked","Level","10","32","Docked","Level","1"
"8","37","blue","frc16","frc7483","frc3039","81","12","30","None","Level","22","36","Docked","Level","0"
"9","44","red","frc3284","frc3039","frc7525","87","9","21","None","Level","29","51","Docked","Level","3"
"10","47","blue","frc3039","frc4336","frc4522","110","15","30","Docked","Level","35","65","Docked","Level","1"
"11","51","blue","frc16","frc7106","frc3039","73","12","27","None","Level","16","36","Docked","Level","3"
"12","57","red","frc1997","frc9073","frc3039","65","0","18","Docked","Level","17","47","Docked","Level","1"
