"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","red","frc7561","frc9146","frc5564","30","3","15","Docked","Level","8","10","Park","NotLevel","0"
"2","11","blue","frc9146","frc4817","frc6434","75","3","15","Docked","Level","6","28","Docked","Level","3"
"3","15","blue","frc9146","frc3132","frc6996","112","15","30","None","Level","30","52","Docked","Level","3"
"4","21","blue","frc9146","frc9145","frc9144","57","3","6","None","NotLevel","14","36","Docked","Level","0"
"5","30","red","frc6575","frc9146","frc4774","70","9","21","None","Level","22","44","Docked","Level","3"
"6","36","blue","frc5985","frc4729","frc9146","52","9","15","None","Level","10","32","Park","Level","0"
"7","43","blue","frc4739","frc9146","frc4788","53","9","9","None","Level","24","34","Docked","Level","0"
"8","47","red","frc9147","frc5584","frc9146","53","9","15","None","Level","11","33","Park","Level","0"
"9","51","red","frc6063","frc4537","frc9146","65","9","12","None","NotLevel","16","38","Docked","Level","0"
"10","59","red","frc7583","frc6432","frc9146","85","12","18","None","NotLevel","22","52","Docked","Level","3"
"11","65","blue","frc9146","frc6510","frc7128","90","9","27","None","Level","31","53","Docked","Level","3"
