"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc6127","frc1726","frc7755","30","9","12","None","Level","8","18","Park","NotLevel","0"
"2","10","red","frc6352","frc498","frc7755","116","15","33","None","Level","31","53","Docked","Level","4"
"3","16","blue","frc7426","frc7755","frc2647","67","9","21","None","Level","21","41","Docked","Level","2"
"4","23","blue","frc7755","frc8848","frc5199","82","9","27","None","Level","33","45","Park","NotLevel","2"
"5","31","red","frc8087","frc7755","frc7703","42","0","3","None","NotLevel","12","34","Docked","Level","0"
"6","36","red","frc9059","frc7755","frc6413","70","6","24","None","Level","16","36","Docked","Level","1"
"7","43","red","frc7755","frc4146","frc3925","58","13","28","None","Level","17","25","Docked","NotLevel","0"
"8","52","blue","frc7755","frc698","frc3187","69","12","18","None","Level","19","41","Park","Level","0"
"9","58","red","frc7447","frc3019","frc7755","80","3","24","None","Level","19","41","Docked","Level","1"
"10","64","blue","frc3309","frc7755","frc2375","71","7","22","None","Level","2","32","Docked","Level","1"
"11","75","blue","frc7755","frc6656","frc2662","43","3","12","None","Level","12","16","Park","NotLevel","0"
