"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc5059","frc7214","frc2662","29","0","0","None","Level","7","29","Docked","Level","0"
"2","8","red","frc1212","frc60","frc7214","73","9","21","None","Level","20","42","Docked","Level","3"
"3","19","blue","frc7214","frc4146","frc6922","69","6","21","None","Level","18","38","None","Level","1"
"4","23","blue","frc991","frc4565","frc7214","73","6","24","None","Level","14","34","Park","Level","1"
"5","28","red","frc7214","frc7130","frc1165","58","9","12","None","Level","17","31","Park","Level","2"
"6","36","red","frc3019","frc2073","frc7214","12","0","0","None","Level","10","12","None","NotLevel","0"
"7","42","blue","frc7214","frc7755","frc3187","11","0","3","None","Level","8","8","None","NotLevel","0"
"8","46","red","frc2840","frc2122","frc7214","72","6","24","None","Level","30","38","Docked","NotLevel","2"
"9","51","blue","frc6968","frc7214","frc7645","76","9","21","None","Level","19","25","Docked","NotLevel","2"
"10","62","red","frc2486","frc7214","frc2403","56","3","17","None","NotLevel","16","24","Docked","NotLevel","0"
"11","68","blue","frc9059","frc7214","frc1011","31","0","3","None","Level","8","28","None","Level","0"
"12","74","red","frc7214","frc4111","frc2659","108","9","21","None","Level","35","57","Park","Level","4"
