"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc5997","frc6351","frc7173","18","0","0","None","Level","18","18","None","NotLevel","0"
"2","11","red","frc4253","frc6364","frc6351","111","6","24","None","Level","25","47","Park","Level","3"
"3","14","red","frc4613","frc8331","frc6351","96","6","21","None","Level","40","60","None","Level","3"
"4","19","blue","frc6351","frc7781","frc1622","17","0","0","None","Level","12","12","Park","NotLevel","0"
"5","24","blue","frc7287","frc6351","frc7688","86","10","25","None","Level","9","15","Park","Level","2"
"6","34","blue","frc3256","frc6351","frc7167","60","9","15","None","NotLevel","13","35","Park","Level","2"
"7","38","blue","frc7190","frc7796","frc6351","40","3","6","None","NotLevel","17","29","Docked","Level","2"
"8","44","red","frc6351","frc8339","frc4421","101","15","33","None","Level","31","53","Docked","Level","3"
"9","48","blue","frc9277","frc1868","frc6351","68","6","9","None","Level","19","39","None","Level","0"
"10","59","blue","frc6351","frc288","frc6390","72","6","15","None","NotLevel","17","37","Park","Level","2"
"11","63","red","frc4627","frc6351","frc216","58","6","21","None","Level","19","27","None","NotLevel","2"
"12","69","red","frc6351","frc7332","frc9079","35","9","12","None","Level","8","18","Park","NotLevel","0"
