"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","7","blue","frc1156","frc7033","frc9048","109","11","23","Docked","Level","34","54","Docked","Level","3"
"2","14","blue","frc9178","frc1156","frc7567","126","10","28","Docked","Level","46","68","Docked","Level","3"
"3","20","red","frc1156","frc9166","frc8882","69","4","19","Docked","Level","15","35","Docked","Level","1"
"4","28","red","frc9218","frc9175","frc1156","93","13","28","Docked","Level","25","45","Docked","Level","3"
"5","34","red","frc9168","frc1156","frc9047","96","10","28","Docked","Level","26","48","Docked","Level","3"
"6","42","red","frc7565","frc9169","frc1156","90","9","24","Docked","Level","26","46","Docked","Level","3"
"7","48","blue","frc1156","frc6404","frc1772","82","8","26","Docked","Level","19","41","Docked","Level","3"
"8","53","blue","frc1156","frc9085","frc9110","62","4","22","Docked","Level","24","30","Docked","Level","2"
"9","58","blue","frc9162","frc8276","frc1156","62","7","25","Docked","Level","7","27","Docked","Level","3"
"10","65","blue","frc9302","frc1156","frc9087","101","7","19","Docked","Level","20","42","Docked","Level","3"
