"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","blue","frc4415","frc5012","frc5124","107","12","30","Docked","Level","30","52","Docked","Level","1"
"2","7","red","frc3669","frc2073","frc4415","153","24","45","None","Level","56","78","Docked","Level","4"
"3","14","red","frc6305","frc4415","frc3512","124","19","33","None","NotLevel","42","56","Docked","NotLevel","1"
"4","19","blue","frc4079","frc4415","frc6657","118","15","36","None","Level","40","62","Docked","Level","3"
"5","25","red","frc4419","frc4415","frc8060","159","18","36","Docked","Level","40","62","Park","Level","3"
"6","32","blue","frc1197","frc5869","frc4415","117","6","24","Docked","Level","46","68","Park","Level","3"
"7","37","blue","frc4014","frc4415","frc2404","98","15","30","None","Level","31","53","Docked","Level","3"
"8","43","red","frc4415","frc7607","frc980","99","10","28","Docked","Level","36","56","Docked","Level","3"
"9","49","red","frc3476","frc6072","frc4415","125","22","40","Docked","Level","45","55","Docked","NotLevel","3"
"10","56","red","frc4415","frc2659","frc4414","181","20","38","None","Level","71","93","Docked","Level","4"
"11","61","blue","frc981","frc691","frc4415","85","6","24","Docked","Level","33","41","Docked","NotLevel","2"
"12","67","blue","frc4415","frc3749","frc3759","127","12","33","Docked","Level","47","69","Docked","Level","4"
