"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","blue","frc4643","frc1678","frc2204","113","18","29","None","NotLevel","34","64","Docked","Level","3"
"2","10","red","frc3598","frc2204","frc4135","73","10","25","None","Level","26","48","Docked","Level","1"
"3","16","blue","frc2204","frc2637","frc2489","117","10","25","None","Level","42","62","None","Level","4"
"4","24","red","frc3257","frc5274","frc2204","78","7","19","None","Level","29","49","Park","Level","3"
"5","37","blue","frc2204","frc5026","frc2141","85","3","6","None","Level","25","47","Park","Level","0"
"6","43","red","frc7137","frc2204","frc5700","84","15","27","None","Level","28","42","Docked","NotLevel","0"
"7","49","blue","frc5728","frc1072","frc2204","87","10","28","None","Level","20","34","Park","Level","2"
"8","60","red","frc2204","frc751","frc9114","62","9","9","None","NotLevel","23","43","Docked","Level","0"
"9","66","blue","frc3501","frc2204","frc766","100","9","27","None","Level","26","48","Docked","Level","4"
"10","72","blue","frc8793","frc3482","frc2204","77","10","25","None","Level","35","47","None","Level","2"
