"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc1072","frc1422","frc4738","92","12","23","Docked","NotLevel","32","54","Docked","Level","3"
"2","10","blue","frc1072","frc840","frc5104","79","9","12","None","NotLevel","37","57","Docked","Level","2"
"3","14","red","frc1828","frc1072","frc4400","74","3","6","None","NotLevel","38","58","Docked","Level","0"
"4","21","red","frc2473","frc3189","frc1072","67","6","21","Docked","Level","11","31","Docked","Level","1"
"5","26","red","frc8033","frc1072","frc5817","68","13","19","None","Level","17","39","Docked","Level","0"
"6","32","red","frc6305","frc6662","frc1072","80","12","30","Docked","Level","18","40","None","Level","3"
"7","45","red","frc1072","frc5940","frc8768","121","21","39","None","Level","33","47","Docked","NotLevel","2"
"8","49","blue","frc6238","frc1072","frc7777","47","10","10","None","Level","10","32","Docked","Level","0"
"9","57","blue","frc9202","frc1072","frc8048","115","9","30","None","Level","30","50","Docked","Level","3"
"10","62","blue","frc973","frc2288","frc1072","98","12","30","None","Level","31","53","Docked","Level","3"
"11","66","blue","frc1072","frc6918","frc670","90","6","24","None","Level","29","51","Docked","Level","1"
"12","76","blue","frc6711","frc5026","frc1072","69","9","27","Docked","Level","20","42","Docked","Level","1"
