"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc5124","frc207","frc6000","82","10","13","None","Level","27","49","Docked","Level","2"
"2","12","red","frc207","frc8600","frc5857","31","4","4","None","Level","7","27","Docked","Level","0"
"3","17","red","frc846","frc4201","frc207","109","4","19","None","Level","38","60","Docked","Level","3"
"4","30","red","frc207","frc3408","frc9172","38","3","6","None","Level","11","17","Docked","NotLevel","2"
"5","37","red","frc606","frc207","frc4999","54","0","3","None","Level","21","41","Park","Level","0"
"6","42","blue","frc1197","frc5500","frc207","48","3","6","None","Level","10","32","Docked","Level","0"
"7","49","blue","frc8020","frc207","frc5199","93","9","12","None","Level","39","61","Docked","Level","0"
"8","54","blue","frc597","frc1452","frc207","66","7","22","None","Level","18","24","Docked","NotLevel","0"
"9","66","blue","frc207","frc294","frc1661","110","15","29","None","NotLevel","39","61","Docked","Level","3"
"10","71","red","frc207","frc4123","frc3473","101","15","23","None","NotLevel","41","63","Docked","Level","3"
