"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc6814","frc852","frc670","84","4","7","None","Level","47","57","Docked","Level","0"
"2","8","red","frc852","frc6059","frc7777","63","0","3","None","Level","28","50","Docked","Level","0"
"3","15","blue","frc9125","frc5940","frc852","136","16","27","None","NotLevel","54","84","Docked","Level","4"
"4","19","red","frc1671","frc852","frc2486","128","10","21","None","NotLevel","47","77","Park","Level","4"
"5","28","blue","frc852","frc6998","frc2135","61","4","19","None","Level","25","27","Docked","NotLevel","0"
"6","35","red","frc5027","frc852","frc1836","29","3","6","None","NotLevel","6","18","Docked","Level","0"
"7","39","blue","frc6884","frc4255","frc852","94","18","33","None","Level","26","46","Docked","Level","3"
"8","45","blue","frc8033","frc668","frc852","139","7","25","None","Level","57","79","Docked","Level","4"
"9","50","red","frc852","frc1323","frc8404","158","14","25","None","NotLevel","61","83","Docked","Level","4"
"10","60","blue","frc852","frc1280","frc4171","42","6","6","None","Level","4","26","Docked","Level","0"
"11","64","blue","frc6822","frc5817","frc852","56","15","30","None","Level","11","21","Park","Level","0"
