"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc2839","frc7230","frc1884","73","0","15","None","Level","31","53","Park","Level","3"
"2","10","red","frc7230","frc7042","frc812","46","9","24","None","Level","4","12","Docked","NotLevel","2"
"3","20","red","frc9271","frc7230","frc6499","70","3","12","None","Level","13","43","Docked","Level","3"
"4","26","blue","frc3501","frc6220","frc7230","52","10","16","None","Level","11","31","Docked","Level","0"
"5","33","blue","frc4276","frc4019","frc7230","38","4","7","None","Level","9","31","Docked","Level","0"
"6","42","red","frc7230","frc5835","frc1160","73","12","27","None","Level","14","36","Park","Level","3"
"7","48","blue","frc5137","frc7230","frc5025","57","3","6","None","Level","11","31","Park","Level","0"
"8","55","red","frc7230","frc7157","frc5199","129","12","27","None","Level","50","72","Docked","Level","3"
"9","65","blue","frc4014","frc4141","frc7230","71","9","27","None","Level","12","34","Docked","Level","1"
"10","76","red","frc7230","frc4415","frc2637","72","3","6","None","Level","24","46","Docked","Level","2"
