"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc7424","frc2465","frc6479","41","6","15","None","Level","4","26","Docked","Level","0"
"2","13","red","frc5089","frc2102","frc2465","76","9","27","None","Level","19","39","Docked","Level","3"
"3","22","red","frc2584","frc2465","frc1661","69","9","15","None","Level","29","49","Docked","Level","2"
"4","27","red","frc3859","frc2543","frc2465","76","9","23","Docked","NotLevel","23","53","Docked","Level","3"
"5","34","blue","frc687","frc1678","frc2465","141","18","36","None","Level","50","70","Docked","Level","4"
"6","39","blue","frc2465","frc2429","frc4481","100","18","21","None","NotLevel","44","64","Docked","Level","2"
"7","47","red","frc2465","frc6658","frc498","56","16","27","Docked","NotLevel","7","29","Park","Level","1"
"8","52","blue","frc2465","frc5012","frc294","69","15","26","Docked","NotLevel","22","28","Docked","NotLevel","0"
"9","66","blue","frc3255","frc2465","frc1452","80","9","20","None","NotLevel","28","50","Docked","Level","3"
"10","73","red","frc2465","frc3473","frc6036","96","16","34","None","Level","30","52","Docked","Level","1"
"11","80","red","frc1572","frc2465","frc973","110","12","30","None","Level","43","65","Docked","Level","1"
