"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","7","red","frc8169","frc5924","frc9143","57","6","6","None","Level","14","36","Docked","Level","0"
"2","12","red","frc5924","frc115","frc971","144","23","41","None","Level","48","68","None","Level","4"
"3","19","blue","frc5924","frc299","frc4904","59","10","25","Docked","Level","14","34","Docked","Level","1"
"4","28","blue","frc1351","frc4159","frc5924","90","10","24","Docked","NotLevel","39","51","None","Level","2"
"5","35","blue","frc841","frc8016","frc5924","71","10","24","Docked","NotLevel","20","32","Docked","NotLevel","2"
"6","41","red","frc8793","frc5924","frc1700","53","4","22","Docked","Level","14","16","Docked","NotLevel","0"
"7","46","blue","frc5924","frc114","frc5419","120","19","37","None","Level","36","58","Docked","Level","4"
"8","51","red","frc8840","frc5924","frc8852","87","10","28","Docked","Level","22","44","Docked","Level","1"
"9","57","red","frc7245","frc4186","frc5924","49","4","22","Docked","Level","2","22","None","Level","1"
"10","65","blue","frc9111","frc5924","frc9125","110","13","34","Docked","Level","34","56","Docked","Level","1"
