"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc2489","frc6238","frc5985","83","10","13","None","NotLevel","28","50","Docked","Level","2"
"2","16","blue","frc6238","frc972","frc846","127","10","28","Docked","Level","52","74","None","Level","4"
"3","22","red","frc6238","frc100","frc3257","120","18","36","None","Level","39","69","Docked","Level","1"
"4","31","red","frc6238","frc581","frc6884","143","18","32","None","NotLevel","54","76","Park","Level","4"
"5","48","red","frc4973","frc6238","frc7667","76","8","23","Docked","Level","16","36","Docked","Level","1"
"6","56","red","frc6238","frc6390","frc4171","110","12","27","Docked","Level","36","58","Docked","Level","1"
"7","62","red","frc1160","frc6238","frc6814","79","12","30","None","Level","22","44","Docked","Level","1"
"8","70","blue","frc6418","frc5027","frc6238","91","7","22","Docked","Level","22","44","None","Level","4"
"9","79","red","frc1967","frc5507","frc6238","115","15","33","None","Level","40","62","Docked","Level","2"
"10","89","blue","frc8852","frc8805","frc6238","89","10","25","Docked","Level","24","44","Park","Level","3"
