"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc6326","frc6863","frc116","100","12","18","None","Level","44","62","Docked","NotLevel","3"
"2","13","red","frc620","frc8230","frc6863","107","9","30","None","Level","27","57","Docked","Level","1"
"3","29","blue","frc6863","frc1908","frc1727","125","12","30","None","Level","48","70","Docked","Level","4"
"4","39","red","frc6863","frc8726","frc623","114","16","37","None","Level","35","57","Docked","Level","2"
"5","46","red","frc401","frc122","frc6863","112","12","30","None","Level","42","50","None","NotLevel","1"
"6","55","blue","frc2363","frc6863","frc6802","146","21","42","None","Level","47","69","Docked","Level","4"
"7","64","blue","frc3136","frc686","frc6863","144","24","39","None","Level","35","55","Docked","Level","4"
"8","72","blue","frc1418","frc6863","frc836","124","16","34","None","Level","43","65","Docked","Level","2"
"9","83","red","frc6863","frc8592","frc612","65","15","18","None","Level","20","32","Docked","NotLevel","0"
"10","91","red","frc611","frc1610","frc6863","124","18","32","None","NotLevel","45","67","Docked","Level","4"
"11","103","blue","frc6863","frc5804","frc5724","131","18","39","None","Level","45","67","Docked","Level","4"
"12","113","blue","frc9072","frc6863","frc422","131","9","24","None","Level","50","72","Docked","Level","4"
