"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc2341","frc9112","frc4944","75","6","21","None","Level","32","54","Park","Level","1"
"2","9","blue","frc2341","frc2083","frc7737","37","3","3","None","Level","9","29","Docked","Level","0"
"3","20","blue","frc1619","frc7243","frc2341","98","9","27","None","Level","37","51","Docked","NotLevel","0"
"4","25","red","frc2341","frc1410","frc1977","79","9","24","None","Level","28","40","Docked","Level","2"
"5","36","red","frc5493","frc2341","frc3648","71","4","19","None","Level","20","42","None","Level","1"
"6","42","blue","frc1799","frc2341","frc3807","46","3","9","None","Level","24","32","Park","NotLevel","2"
"7","48","red","frc8334","frc4550","frc2341","100","0","18","None","Level","32","62","Docked","Level","3"
"8","53","blue","frc1011","frc2341","frc7485","35","0","3","None","Level","15","17","None","NotLevel","0"
"9","61","red","frc1303","frc7479","frc2341","33","0","6","None","Level","23","27","Park","NotLevel","0"
"10","66","red","frc2341","frc662","frc3729","72","12","23","None","NotLevel","27","39","Docked","NotLevel","0"
"11","73","blue","frc3200","frc2261","frc2341","71","4","10","None","Level","31","51","Docked","Level","2"
"12","80","red","frc4418","frc2341","frc1138","58","6","12","None","NotLevel","18","26","Docked","NotLevel","0"
