"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","blue","frc1071","frc1058","frc7760","92","3","15","None","Level","32","52","Park","Level","3"
"2","11","red","frc558","frc1071","frc6346","67","12","18","None","Level","28","34","Docked","NotLevel","0"
"3","20","blue","frc8167","frc1071","frc1699","120","12","30","None","Level","40","70","None","Level","3"
"4","26","red","frc1071","frc6723","frc3634","50","0","15","None","Level","10","30","Park","Level","1"
"5","30","blue","frc571","frc1071","frc3146","88","13","27","None","NotLevel","24","36","Docked","Level","2"
"6","37","red","frc3464","frc5746","frc1071","59","6","12","None","Level","15","37","Docked","Level","0"
"7","42","blue","frc1071","frc4628","frc8085","89","10","21","None","NotLevel","28","48","Docked","Level","3"
"8","49","blue","frc2170","frc4572","frc1071","95","7","25","None","Level","23","45","Park","Level","3"
"9","57","red","frc9056","frc1071","frc195","112","6","17","None","NotLevel","50","70","Park","Level","4"
"10","62","red","frc95","frc1124","frc1071","101","6","21","None","Level","46","60","Docked","NotLevel","3"
"11","71","red","frc1071","frc3182","frc178","95","16","37","None","Level","21","33","None","NotLevel","0"
"12","76","red","frc230","frc236","frc1071","115","22","36","None","NotLevel","37","59","Park","Level","4"
