"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc6346","frc177","frc7869","51","6","6","None","Level","26","30","None","Level","2"
"2","7","blue","frc3634","frc7869","frc8889","46","6","9","None","Level","10","22","None","Level","2"
"3","18","red","frc558","frc7869","frc716","49","6","24","None","Level","5","25","Docked","Level","3"
"4","25","red","frc7869","frc5494","frc3464","54","6","12","None","Level","14","22","None","NotLevel","0"
"5","30","blue","frc7869","frc5746","frc5856","34","0","6","None","Level","8","28","Docked","Level","2"
"6","35","blue","frc7869","frc5142","frc7694","55","0","6","None","Level","9","39","Docked","Level","1"
"7","44","red","frc230","frc7869","frc9216","56","6","20","None","NotLevel","24","26","Docked","NotLevel","0"
"8","49","red","frc4628","frc7869","frc999","48","3","12","None","NotLevel","14","26","Docked","NotLevel","0"
"9","53","red","frc1991","frc1124","frc7869","49","6","9","None","Level","8","30","None","Level","0"
"10","58","blue","frc181","frc155","frc7869","50","4","7","None","NotLevel","11","33","None","Level","0"
"11","66","blue","frc9193","frc1071","frc7869","53","4","13","None","Level","13","35","Docked","Level","2"
"12","71","blue","frc7869","frc2712","frc2170","58","0","14","None","NotLevel","16","24","None","NotLevel","0"
