"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","12","red","frc2451","frc7890","frc3341","108","15","32","Docked","NotLevel","39","61","Docked","Level","1"
"2","21","blue","frc3132","frc7890","frc7534","85","6","21","Docked","Level","37","49","Docked","Level","0"
"3","31","red","frc7890","frc5727","frc6868","118","26","44","None","Level","40","54","Docked","NotLevel","0"
"4","40","red","frc7890","frc4766","frc4270","187","18","39","Docked","Level","73","103","Docked","Level","4"
"5","64","red","frc3847","frc5687","frc7890","148","24","45","Docked","Level","56","78","Docked","Level","4"
"6","78","blue","frc302","frc325","frc7890","186","22","43","None","Level","68","98","Docked","Level","4"
"7","87","red","frc7890","frc7220","frc8046","167","18","39","Docked","Level","63","93","Docked","Level","2"
"8","97","blue","frc9219","frc3284","frc7890","125","10","31","Docked","Level","44","64","Docked","Level","1"
"9","109","blue","frc7042","frc7890","frc7565","128","16","37","Docked","Level","49","71","Docked","Level","3"
"10","126","blue","frc1756","frc8426","frc7890","162","21","42","Docked","Level","63","85","Docked","Level","4"
