"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc2425","frc180","frc8791","72","6","20","None","NotLevel","20","42","Docked","Level","3"
"2","11","blue","frc8841","frc6527","frc8791","52","0","15","None","Level","19","27","None","NotLevel","0"
"3","19","blue","frc8791","frc5145","frc1557","43","9","12","None","NotLevel","16","26","Park","Level","0"
"4","36","blue","frc386","frc8791","frc59","99","7","28","None","Level","29","51","Docked","Level","4"
"5","45","red","frc6322","frc8791","frc3627","51","0","3","None","NotLevel","21","43","Park","Level","0"
"6","53","red","frc8791","frc4013","frc21","59","6","12","None","Level","22","42","None","Level","0"
"7","63","blue","frc9284","frc1744","frc8791","33","6","6","None","Level","4","10","Docked","Level","0"
"8","70","red","frc8791","frc5816","frc5842","50","6","24","None","Level","19","21","None","Level","0"
"9","78","blue","frc8791","frc5472","frc2383","92","12","33","None","Level","29","49","Park","Level","3"
"10","89","blue","frc4622","frc8791","frc1056","51","0","6","None","Level","25","45","Docked","Level","0"
