"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc3164","frc4065","frc5557","78","9","23","None","NotLevel","23","45","Park","Level","3"
"2","8","red","frc2973","frc3164","frc6184","12","0","6","None","Level","2","6","Park","NotLevel","0"
"3","16","red","frc2556","frc386","frc3164","92","0","14","None","NotLevel","46","68","Park","Level","1"
"4","23","red","frc8775","frc3164","frc6510","90","10","28","None","Level","25","47","Docked","Level","3"
"5","29","blue","frc3164","frc6647","frc233","95","10","25","None","Level","35","45","Docked","NotLevel","2"
"6","35","red","frc9135","frc8788","frc3164","27","3","6","None","NotLevel","7","21","Docked","NotLevel","0"
"7","39","red","frc3164","frc9313","frc7431","72","0","15","None","Level","25","47","Park","Level","3"
"8","47","blue","frc86","frc3164","frc5816","69","3","12","None","NotLevel","30","52","None","Level","2"
"9","52","blue","frc6107","frc180","frc3164","104","6","24","None","Level","38","60","Park","Level","3"
"10","61","blue","frc8778","frc3164","frc5145","66","6","12","None","NotLevel","25","39","Park","Level","0"
"11","69","blue","frc3164","frc9300","frc9284","69","9","15","None","Level","22","44","Park","Level","0"
"12","73","blue","frc1902","frc5276","frc3164","55","9","15","None","NotLevel","21","25","Docked","NotLevel","0"
