"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc59","frc11","frc2152","50","6","18","Docked","Level","19","27","None","NotLevel","0"
"2","9","red","frc7833","frc11","frc3932","81","12","30","Docked","Level","26","46","None","Level","3"
"3","17","red","frc11","frc4206","frc8791","74","3","18","Docked","Level","29","51","Docked","Level","1"
"4","22","red","frc11","frc4065","frc7652","100","12","27","Docked","Level","41","63","None","Level","3"
"5","29","red","frc11","frc8817","frc2641","96","9","24","Docked","Level","30","52","Park","Level","3"
"6","32","red","frc11","frc3627","frc2383","67","9","21","Docked","Level","28","36","Docked","NotLevel","2"
"7","38","blue","frc744","frc5410","frc11","74","6","18","Docked","Level","24","46","Docked","Level","3"
"8","43","red","frc79","frc11","frc1744","67","6","18","Docked","Level","32","32","None","NotLevel","0"
"9","46","blue","frc108","frc11","frc4592","77","15","23","Docked","NotLevel","34","44","None","NotLevel","0"
"10","52","red","frc7403","frc3653","frc11","75","12","24","Docked","Level","24","46","None","Level","3"
"11","59","blue","frc180","frc8104","frc11","91","12","33","None","Level","23","43","Docked","Level","3"
"12","68","blue","frc3173","frc348","frc11","47","3","15","None","Level","12","32","None","Level","1"
