"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc1683","frc4240","frc3635","77","0","3","None","NotLevel","32","54","Docked","Level","2"
"2","5","red","frc3635","frc8815","frc4509","54","0","12","None","Level","23","37","Park","Level","2"
"3","9","red","frc5848","frc3635","frc5828","47","0","3","None","NotLevel","12","34","Park","Level","0"
"4","13","blue","frc4730","frc7470","frc3635","15","0","0","None","Level","6","10","Docked","Level","0"
"5","16","blue","frc8100","frc3635","frc5828","24","0","3","None","Level","10","16","Docked","NotLevel","0"
"6","19","blue","frc3635","frc9260","frc4459","66","7","10","None","Level","26","46","Docked","Level","0"
"7","25","blue","frc3635","frc4188","frc1683","46","0","0","None","Level","16","36","None","Level","2"
"8","27","blue","frc3344","frc4459","frc3635","63","9","12","None","Level","21","41","Docked","Level","0"
"9","30","blue","frc3329","frc8100","frc3635","48","0","0","None","Level","16","38","Docked","Level","2"
"10","33","red","frc6919","frc3635","frc8815","72","7","22","None","Level","15","35","Park","Level","3"
"11","36","blue","frc4112","frc3635","frc4701","51","3","6","None","Level","15","35","Park","Level","0"
"12","41","blue","frc3635","frc9086","frc7538","49","3","9","None","Level","21","35","Docked","Level","0"
