"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc3815","frc832","frc5109","82","0","11","None","NotLevel","34","56","Park","Level","3"
"2","7","red","frc6705","frc5109","frc8761","64","0","0","None","Level","22","44","Docked","Level","0"
"3","10","red","frc6887","frc6712","frc5109","85","9","12","None","Level","31","53","Docked","Level","3"
"4","15","red","frc8577","frc5293","frc5109","72","6","18","None","Level","22","44","Park","Level","1"
"5","23","red","frc3091","frc5109","frc4459","18","6","6","None","Level","7","7","None","Level","0"
"6","28","blue","frc5109","frc7514","frc9293","63","12","18","None","Level","15","25","None","Level","1"
"7","32","blue","frc4516","frc5109","frc1648","87","6","21","None","Level","43","51","Park","NotLevel","0"
"8","35","blue","frc5109","frc5900","frc1795","90","6","9","None","NotLevel","41","71","Docked","Level","3"
"9","39","blue","frc5109","frc6023","frc2974","143","16","34","None","Level","52","74","Park","Level","4"
"10","43","blue","frc7451","frc8866","frc5109","113","12","27","None","Level","44","66","Docked","Level","4"
"11","48","blue","frc6340","frc5109","frc8080","111","12","27","None","Level","42","64","Docked","Level","4"
"12","55","red","frc5109","frc6905","frc8761","62","6","9","None","Level","21","43","Park","Level","0"
