"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","9","blue","frc4509","frc281","frc2415","100","15","24","None","NotLevel","43","51","Park","NotLevel","2"
"2","16","blue","frc4451","frc4189","frc4509","151","21","39","None","Level","55","77","Docked","Level","4"
"3","24","blue","frc832","frc4509","frc9293","137","18","39","Docked","Level","46","68","Docked","Level","4"
"4","29","blue","frc6829","frc4509","frc1746","147","21","38","None","NotLevel","54","84","Docked","Level","4"
"5","36","blue","frc4533","frc1648","frc4509","101","15","26","Docked","NotLevel","38","60","Park","Level","1"
"6","47","red","frc3635","frc4509","frc3490","119","19","37","Docked","Level","28","50","Docked","Level","3"
"7","55","red","frc8575","frc4509","frc1414","154","24","45","None","Level","52","72","Docked","Level","4"
"8","64","red","frc4509","frc1758","frc9260","132","22","43","None","Level","53","59","Docked","Level","2"
"9","73","red","frc4509","frc1287","frc6919","157","18","24","None","Level","49","69","Park","Level","3"
"10","79","blue","frc4112","frc5293","frc4509","115","12","30","None","Level","45","65","Docked","Level","2"
"11","84","blue","frc5900","frc7451","frc4509","115","18","27","None","NotLevel","38","68","Docked","Level","2"
"12","93","red","frc4509","frc8080","frc4516","116","12","26","None","NotLevel","43","65","Docked","Level","4"
