"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc832","frc6340","frc7104","49","6","18","Docked","Level","16","26","Docked","Level","2"
"2","5","blue","frc6712","frc6340","frc5219","77","12","23","Docked","NotLevel","22","44","Docked","Level","1"
"3","10","red","frc6023","frc5900","frc6340","59","4","4","None","Level","30","50","None","Level","2"
"4","13","blue","frc6340","frc8866","frc1311","80","9","24","Docked","Level","29","51","Docked","Level","3"
"5","19","blue","frc6340","frc1002","frc4026","69","9","20","Docked","NotLevel","29","39","Docked","Level","2"
"6","23","red","frc8866","frc6340","frc4516","63","6","12","None","NotLevel","32","46","Docked","Level","2"
"7","27","red","frc6340","frc7514","frc1758","62","10","22","Docked","Level","13","35","Park","Level","3"
"8","30","red","frc2974","frc832","frc6340","121","12","27","None","Level","47","69","Docked","Level","3"
"9","35","red","frc6887","frc8865","frc6340","71","9","20","Docked","NotLevel","21","41","Docked","Level","3"
"10","38","blue","frc7451","frc8761","frc6340","35","6","14","Docked","NotLevel","19","21","Docked","Level","0"
"11","44","red","frc8761","frc6340","frc6341","83","9","24","None","Level","27","49","None","Level","3"
"12","48","blue","frc6340","frc8080","frc6705","94","9","23","Docked","NotLevel","34","56","Docked","Level","3"
