"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc7676","frc9293","frc8849","13","3","3","None","Level","0","10","None","Level","0"
"2","6","red","frc9293","frc1746","frc9057","21","3","3","None","Level","4","18","Park","Level","0"
"3","11","red","frc8865","frc9293","frc1771","71","12","23","None","NotLevel","21","43","None","Level","3"
"4","16","blue","frc9293","frc9086","frc1683","93","6","24","None","Level","37","59","Docked","Level","3"
"5","19","red","frc7538","frc9293","frc8736","32","9","15","None","Level","12","12","Docked","NotLevel","0"
"6","26","blue","frc9293","frc8100","frc2415","39","9","12","None","Level","10","22","None","Level","0"
"7","29","blue","frc4509","frc8815","frc9293","76","12","27","None","Level","24","44","Docked","Level","3"
"8","32","red","frc4188","frc6905","frc9293","67","12","15","None","Level","35","47","Park","NotLevel","0"
"9","37","red","frc9293","frc8100","frc5651","39","9","9","None","Level","15","25","None","Level","0"
"10","42","blue","frc8577","frc9293","frc6829","46","12","27","None","Level","12","14","Park","Level","0"
"11","47","blue","frc5293","frc5109","frc9293","59","10","22","None","Level","15","37","None","Level","3"
"12","51","blue","frc1795","frc6925","frc9293","42","3","6","None","NotLevel","21","31","Docked","NotLevel","0"
