"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","blue","frc5848","frc4240","frc4701","50","3","6","None","Level","17","39","Docked","Level","0"
"2","8","red","frc6829","frc9057","frc4240","83","0","17","None","NotLevel","34","56","Docked","Level","3"
"3","12","blue","frc4240","frc1002","frc7104","61","0","6","None","Level","28","50","Docked","Level","0"
"4","15","blue","frc6919","frc3344","frc4240","112","9","30","None","Level","35","57","Docked","Level","4"
"5","21","red","frc1771","frc4240","frc1414","97","12","30","None","Level","30","52","Docked","Level","3"
"6","26","red","frc4240","frc9260","frc5651","57","9","12","None","NotLevel","18","40","Docked","Level","0"
"7","30","red","frc5828","frc4240","frc1002","61","9","15","None","Level","21","41","Docked","Level","0"
"8","34","red","frc4112","frc1261","frc4240","102","6","24","None","Level","41","63","Docked","Level","3"
"9","40","blue","frc4240","frc1746","frc3329","68","7","13","None","NotLevel","20","50","Docked","Level","1"
"10","48","blue","frc4240","frc2415","frc6925","71","12","30","None","Level","19","31","Docked","NotLevel","0"
"11","53","blue","frc3635","frc4240","frc4730","58","4","10","None","NotLevel","13","43","Docked","Level","3"
"12","56","blue","frc7676","frc5219","frc4240","55","0","3","None","Level","12","42","Docked","Level","1"
