"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","red","frc2445","frc2441","frc2522","76","9","30","Docked","Level","21","41","Docked","Level","1"
"2","8","blue","frc3882","frc2465","frc2522","131","15","21","None","NotLevel","38","60","Docked","Level","3"
"3","13","red","frc2522","frc8615","frc3008","93","6","24","Docked","Level","34","54","Docked","Level","1"
"4","20","red","frc2522","frc9012","frc2438","92","15","33","Docked","Level","24","44","None","Level","3"
"5","29","blue","frc3880","frc2522","frc8806","92","13","19","None","Level","48","58","Docked","Level","0"
"6","33","red","frc7551","frc8503","frc2522","64","9","30","None","Level","17","29","Docked","Level","2"
"7","38","red","frc2090","frc2522","frc4817","86","7","21","Docked","NotLevel","42","50","Docked","NotLevel","2"
"8","50","blue","frc2522","frc6909","frc7724","88","6","23","Docked","NotLevel","30","50","Docked","Level","3"
"9","55","blue","frc4270","frc2522","frc368","138","15","33","None","Level","55","75","Docked","Level","4"
"10","60","blue","frc2853","frc2522","frc5851","120","15","33","None","Level","37","67","Docked","Level","4"
"11","64","red","frc2522","frc8853","frc2896","72","10","31","Docked","Level","19","21","Docked","NotLevel","2"
"12","70","blue","frc3721","frc9158","frc2522","74","6","20","Docked","NotLevel","29","39","None","NotLevel","0"
