"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","blue","frc2847","frc6217","frc5125","107","6","21","None","Level","41","61","Docked","Level","4"
"2","15","red","frc9082","frc7309","frc5125","61","7","22","None","Level","12","34","Docked","Level","1"
"3","21","red","frc525","frc2040","frc5125","103","12","18","None","NotLevel","30","60","Docked","Level","1"
"4","37","blue","frc5125","frc9061","frc5006","92","9","27","None","Level","20","50","Docked","Level","1"
"5","43","blue","frc9092","frc5125","frc2264","133","15","36","None","Level","50","72","Docked","Level","4"
"6","52","blue","frc3928","frc5125","frc4329","132","19","40","None","Level","45","67","Park","Level","4"
"7","60","red","frc5125","frc7048","frc7541","115","10","24","None","NotLevel","55","61","Docked","NotLevel","3"
"8","69","blue","frc6317","frc5125","frc5935","85","3","21","None","Level","27","49","Docked","Level","3"
"9","78","red","frc5837","frc5125","frc5690","112","12","30","None","Level","40","62","Docked","Level","3"
"10","89","red","frc5125","frc6424","frc5914","103","6","21","None","Level","44","52","Docked","NotLevel","2"
