"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc5871","frc9044","frc2130","43","6","18","None","Level","8","20","Park","Level","0"
"2","12","red","frc9044","frc3859","frc9314","63","12","24","None","Level","12","34","Docked","Level","1"
"3","24","red","frc9044","frc8","frc6358","109","6","21","None","Level","39","61","Docked","Level","3"
"4","29","red","frc7634","frc9044","frc7895","67","9","15","None","NotLevel","15","37","Docked","Level","2"
"5","38","red","frc299","frc9044","frc3243","73","6","21","None","Level","20","42","Docked","Level","1"
"6","44","blue","frc9044","frc3256","frc8839","64","9","15","None","Level","29","39","Docked","NotLevel","0"
"7","51","blue","frc114","frc8814","frc9044","121","15","33","None","Level","41","63","Docked","Level","3"
"8","61","blue","frc9044","frc6411","frc8546","65","9","27","None","Level","8","28","Park","Level","1"
"9","70","blue","frc1891","frc3216","frc9044","107","15","33","None","Level","37","59","Docked","Level","1"
"10","78","red","frc8011","frc3275","frc9044","99","18","36","None","Level","26","48","Docked","Level","3"
"11","86","blue","frc1566","frc5461","frc9044","95","18","33","None","Level","25","47","Docked","Level","1"
