"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc6651","frc4645","frc5125","44","10","13","None","NotLevel","12","26","None","Level","0"
"2","16","red","frc6651","frc48","frc7460","50","10","24","None","NotLevel","24","26","None","NotLevel","0"
"3","23","red","frc112","frc6651","frc3695","39","12","15","None","Level","12","24","None","Level","0"
"4","30","red","frc6651","frc3488","frc3734","104","10","28","None","Level","41","61","Park","Level","3"
"5","35","red","frc9082","frc4702","frc6651","53","4","22","None","Level","16","16","Park","NotLevel","0"
"6","40","blue","frc2451","frc1625","frc6651","106","16","22","None","NotLevel","44","64","Park","Level","3"
"7","47","blue","frc5148","frc6651","frc2151","42","4","10","None","Level","23","27","None","NotLevel","0"
"8","57","red","frc3110","frc5822","frc6651","36","7","10","None","Level","15","21","None","Level","0"
"9","65","blue","frc8029","frc2338","frc6651","106","13","28","None","Level","36","58","None","Level","3"
"10","77","red","frc2077","frc6651","frc2013","60","9","27","None","Level","15","23","None","NotLevel","0"
"11","83","blue","frc6651","frc2358","frc806","27","0","6","None","Level","13","21","Park","NotLevel","0"
