"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc6651","frc4187","frc5801","50","9","12","None","Level","16","28","Docked","NotLevel","0"
"2","8","red","frc1736","frc6651","frc4096","70","9","12","None","Level","42","48","Park","NotLevel","2"
"3","12","red","frc6651","frc6317","frc2040","41","6","9","None","NotLevel","17","27","Docked","NotLevel","0"
"4","17","red","frc2022","frc7417","frc6651","53","6","9","None","NotLevel","16","24","Docked","NotLevel","0"
"5","24","blue","frc5442","frc6651","frc5484","97","12","30","None","Level","27","57","Docked","Level","3"
"6","28","blue","frc4645","frc6651","frc1208","63","10","16","None","Level","20","42","None","Level","0"
"7","38","red","frc6651","frc4213","frc1756","131","16","37","None","Level","47","67","Docked","Level","3"
"8","42","blue","frc2080","frc7848","frc6651","49","6","6","None","Level","18","26","None","NotLevel","0"
"9","46","blue","frc3539","frc2704","frc6651","85","12","27","None","Level","28","48","Docked","Level","3"
"10","52","blue","frc6651","frc5653","frc234","93","12","30","None","Level","29","43","Park","Level","1"
"11","57","blue","frc2039","frc6237","frc6651","67","10","16","None","NotLevel","26","36","Docked","NotLevel","0"
"12","62","red","frc27","frc6651","frc2481","107","20","41","None","Level","31","51","Docked","Level","3"
