"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc868","frc3147","frc5010","119","15","32","None","NotLevel","50","72","Docked","Level","1"
"2","9","blue","frc3147","frc5188","frc1555","121","10","28","Docked","Level","43","73","Docked","Level","1"
"3","12","blue","frc6721","frc1646","frc3147","73","12","27","None","Level","19","41","Docked","Level","1"
"4","20","red","frc1024","frc3147","frc8116","98","10","25","Docked","Level","39","53","Docked","NotLevel","1"
"5","25","blue","frc4926","frc292","frc3147","130","18","39","None","Level","44","66","Docked","Level","2"
"6","28","blue","frc6956","frc328","frc3147","111","16","37","Docked","Level","37","59","Docked","Level","1"
"7","37","red","frc7617","frc5010","frc3147","149","24","45","Docked","Level","52","74","Docked","Level","4"
"8","43","red","frc3147","frc829","frc5484","136","22","43","Docked","Level","48","68","Park","Level","4"
"9","48","red","frc1741","frc3147","frc234","119","13","34","Docked","Level","48","70","Docked","Level","1"
"10","51","red","frc3147","frc4272","frc461","163","26","47","Docked","Level","59","81","Docked","Level","4"
"11","59","red","frc3147","frc3176","frc7657","130","12","33","Docked","Level","55","77","Docked","Level","4"
"12","64","blue","frc6498","frc3147","frc3487","147","18","39","Docked","Level","49","71","Docked","Level","4"
