"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc7198","frc2171","frc3176","76","10","28","None","Level","28","38","Park","NotLevel","0"
"2","7","red","frc1555","frc71","frc7198","102","8","26","None","Level","29","51","Docked","Level","4"
"3","10","blue","frc2909","frc45","frc7198","96","9","23","None","NotLevel","33","63","Docked","Level","1"
"4","15","red","frc7657","frc829","frc7198","111","12","30","None","Level","34","56","Park","Level","3"
"5","23","blue","frc447","frc1720","frc7198","75","3","12","None","NotLevel","25","31","Docked","NotLevel","3"
"6","28","red","frc7198","frc7454","frc135","85","12","21","None","Level","38","44","Park","NotLevel","0"
"7","32","red","frc7617","frc7198","frc3890","80","7","16","None","Level","24","54","Docked","Level","1"
"8","35","blue","frc3494","frc7198","frc4485","72","10","19","None","Level","27","31","None","Level","0"
"9","40","red","frc234","frc7198","frc6721","111","12","33","None","Level","36","58","Park","Level","2"
"10","47","red","frc7198","frc4580","frc447","73","9","27","None","Level","19","41","Docked","Level","1"
"11","51","blue","frc8564","frc7198","frc5188","92","9","26","None","NotLevel","21","41","Docked","Level","1"
"12","54","blue","frc7198","frc3947","frc3559","79","6","12","None","Level","32","52","Park","Level","0"
