"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc4982","frc3936","frc4926","34","6","20","None","NotLevel","8","14","Docked","NotLevel","0"
"2","9","red","frc2867","frc461","frc3936","77","10","16","None","NotLevel","38","46","None","NotLevel","0"
"3","16","blue","frc5484","frc3936","frc1747","43","0","14","None","NotLevel","20","24","None","NotLevel","0"
"4","22","blue","frc3936","frc2197","frc862","89","12","26","None","NotLevel","31","53","None","Level","3"
"5","27","blue","frc910","frc3936","frc6721","49","15","30","None","Level","8","14","Park","NotLevel","0"
"6","30","blue","frc71","frc3487","frc3936","92","12","33","None","Level","32","54","Park","Level","3"
"7","37","blue","frc3936","frc2909","frc1018","76","10","13","None","NotLevel","42","48","None","NotLevel","0"
"8","40","red","frc868","frc3936","frc135","107","16","31","None","Level","39","61","Park","Level","3"
"9","47","red","frc3936","frc9119","frc328","51","10","13","None","NotLevel","21","33","Docked","Level","0"
"10","53","red","frc9071","frc1501","frc3936","75","12","26","None","NotLevel","32","34","None","NotLevel","0"
"11","61","red","frc5402","frc45","frc3936","75","6","9","None","NotLevel","34","56","None","Level","2"
"12","65","blue","frc3936","frc3176","frc3865","89","9","20","None","NotLevel","37","59","None","Level","3"
