"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc234","frc1646","frc3890","28","0","0","None","NotLevel","22","28","None","NotLevel","0"
"2","6","red","frc3494","frc3890","frc9119","45","0","8","None","NotLevel","15","37","Park","Level","1"
"3","10","red","frc3890","frc8116","frc8103","57","3","6","None","Level","24","46","Park","Level","0"
"4","18","blue","frc4272","frc5188","frc3890","67","9","12","None","Level","35","45","Docked","NotLevel","0"
"5","21","blue","frc829","frc45","frc3890","56","7","25","None","Level","16","26","Docked","NotLevel","0"
"6","25","red","frc7454","frc3890","frc3487","76","9","15","None","Level","26","56","Docked","Level","3"
"7","30","red","frc5010","frc3890","frc7617","94","7","10","None","NotLevel","42","64","Docked","Level","0"
"8","34","red","frc3890","frc7457","frc2171","75","6","24","None","Level","24","46","Park","Level","3"
"9","40","blue","frc8742","frc3890","frc868","69","3","18","None","Level","19","41","None","Level","1"
"10","46","red","frc3890","frc6498","frc1741","85","15","24","None","Level","29","51","Park","Level","0"
"11","49","blue","frc3947","frc292","frc3890","83","15","24","None","NotLevel","36","44","Park","NotLevel","2"
"12","54","blue","frc3890","frc1720","frc8564","48","9","15","None","Level","12","18","Docked","NotLevel","0"
