"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc2197","frc8742","frc5010","98","9","30","Docked","Level","26","48","Park","Level","2"
"2","6","red","frc4485","frc5010","frc829","122","6","20","Docked","NotLevel","50","72","Docked","Level","3"
"3","12","blue","frc3865","frc5010","frc1018","105","9","27","Docked","Level","26","48","Park","Level","4"
"4","17","red","frc3147","frc135","frc5010","138","18","39","Docked","Level","47","69","Park","Level","4"
"5","23","red","frc5010","frc3176","frc4272","117","18","24","None","NotLevel","43","73","Park","Level","4"
"6","29","blue","frc292","frc447","frc5010","129","12","33","Docked","Level","49","71","Park","Level","4"
"7","33","blue","frc7198","frc1646","frc5010","86","6","27","Docked","Level","22","44","Park","Level","3"
"8","39","red","frc1741","frc5010","frc7477","122","12","30","Docked","Level","45","67","Docked","Level","3"
"9","45","blue","frc5010","frc5402","frc6498","66","12","15","None","Level","26","46","Park","Level","0"
"10","50","blue","frc5010","frc1720","frc1024","156","12","33","Docked","Level","49","71","Docked","Level","4"
"11","57","red","frc3936","frc5010","frc461","126","18","39","Docked","Level","45","67","Park","Level","4"
"12","62","blue","frc5010","frc9071","frc2867","131","18","24","None","Level","42","72","Park","Level","4"
