"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc8175","frc1574","frc3388","129","18","39","None","Level","40","70","Docked","Level","4"
"2","10","blue","frc4319","frc1574","frc5928","107","15","29","Docked","NotLevel","43","53","Docked","NotLevel","2"
"3","21","blue","frc7039","frc4338","frc1574","118","18","36","None","Level","38","50","None","NotLevel","1"
"4","29","red","frc5654","frc1690","frc1574","162","15","26","None","NotLevel","69","91","Park","Level","4"
"5","35","red","frc4586","frc1574","frc1942","143","24","42","None","Level","49","71","Park","Level","4"
"6","42","red","frc1574","frc9303","frc7067","107","16","31","None","Level","34","56","Park","Level","4"
"7","47","red","frc3065","frc5715","frc1574","159","22","36","Docked","NotLevel","59","81","Docked","Level","4"
"8","60","red","frc5635","frc7845","frc1574","150","22","43","None","Level","47","77","Docked","Level","4"
"9","66","blue","frc1574","frc2212","frc2679","118","24","42","None","Level","36","56","Docked","Level","3"
"10","71","red","frc1574","frc2231","frc5554","141","12","27","None","Level","54","84","None","Level","2"
"11","76","red","frc1574","frc5135","frc4320","143","21","39","None","Level","44","74","Park","Level","4"
