"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","blue","frc5554","frc2230","frc2630","87","3","9","None","NotLevel","16","38","Docked","Level","0"
"2","8","red","frc9304","frc3211","frc2230","36","6","6","None","Level","16","20","Park","NotLevel","0"
"3","11","red","frc1577","frc2230","frc5135","141","15","26","None","NotLevel","45","75","Docked","Level","4"
"4","14","red","frc2230","frc4319","frc1690","85","6","21","None","Level","32","54","Docked","Level","3"
"5","21","red","frc6738","frc4338","frc2230","77","13","24","None","NotLevel","16","38","Docked","Level","3"
"6","24","blue","frc6740","frc2230","frc1576","47","7","10","None","Level","19","27","Docked","NotLevel","0"
"7","29","red","frc2230","frc3083","frc1943","58","6","9","None","Level","17","29","Docked","NotLevel","0"
"8","32","blue","frc2230","frc4661","frc2096","49","12","18","None","NotLevel","10","16","Docked","NotLevel","0"
"9","35","blue","frc4661","frc2230","frc3065","82","6","24","Docked","Level","21","43","Docked","Level","1"
"10","38","red","frc7067","frc6168","frc2230","94","10","25","None","Level","34","54","Park","Level","3"
"11","42","blue","frc5654","frc5990","frc2230","96","3","18","None","Level","31","53","Docked","Level","3"
"12","47","red","frc2230","frc2630","frc3388","124","12","18","None","Level","27","47","Docked","Level","2"
