"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","13","blue","frc9152","frc4776","frc668","65","6","6","None","NotLevel","24","54","Park","Level","1"
"2","24","blue","frc9152","frc1730","frc1785","134","12","30","None","Level","49","79","Docked","Level","4"
"3","38","red","frc973","frc9152","frc9213","100","6","24","None","Level","43","51","Park","NotLevel","1"
"4","51","red","frc2080","frc2521","frc9152","124","9","24","None","Level","45","75",NA,"Level","2"
"5","61","red","frc6919","frc9152","frc5434","145","18","36","None","Level","53","55",NA,"NotLevel","1"
"6","75","blue","frc9152","frc1714","frc9068","-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","85","red","frc359","frc4635","frc9152","-1",NA,NA,NA,NA,NA,NA,"Park",NA,NA
"8","102","blue","frc1025","frc9152","frc16","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
"9","111","blue","frc484","frc217","frc9152","-1",NA,NA,NA,NA,NA,NA,"Park",NA,NA
"10","121","red","frc9152","frc2067","frc4276","-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
