"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc2357","frc2410","frc4809","70","0","3","None","Level","30","52","Park","Level","2"
"2","7","blue","frc4809","frc935","frc5147","36","0","0","None","Level","30","36","None","NotLevel","1"
"3","18","blue","frc3184","frc1769","frc4809","128","12","27","None","Level","37","57","Docked","Level","3"
"4","22","red","frc1763","frc4809","frc5119","72","6","12","None","NotLevel","28","50","Docked","Level","0"
"5","26","blue","frc1987","frc4809","frc3729","120","12","30","None","Level","48","70","Docked","Level","4"
"6","31","red","frc1723","frc4809","frc8825","55","0","11","None","NotLevel","12","34","Docked","Level","1"
"7","37","blue","frc5141","frc4809","frc1806","63","6","12","None","NotLevel","19","41","Docked","Level","0"
"8","43","blue","frc4809","frc2560","frc8112","69","6","12","None","Level","23","35","Docked","NotLevel","0"
"9","53","blue","frc4809","frc5189","frc2457","66","3","12","None","Level","14","44","Park","Level","1"
"10","58","red","frc4809","frc5837","frc5268","51","0","6","None","Level","30","40","None","Level","0"
"11","66","red","frc1730","frc1827","frc4809","88","12","33","None","Level","20","40","Docked","Level","3"
"12","72","blue","frc9269","frc2197","frc4809","53","3","9","None","Level","12","34","Docked","Level","0"
