"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc456","frc3616","frc4635","144","18","36","Docked","Level","53","83","Docked","Level","4"
"2","12","blue","frc4635","frc3468","frc8044","88","21","27","None","NotLevel","24","46","Park","Level","2"
"3","18","red","frc364","frc4635","frc5863","127","15","33","Docked","Level","52","74","Docked","Level","3"
"4","22","blue","frc1421","frc8732","frc4635","120","15","26","Docked","NotLevel","44","74","Docked","Level","4"
"5","27","blue","frc16","frc4635","frc3039","132","12","18","None","NotLevel","64","94","Docked","Level","4"
"6","33","blue","frc4087","frc4635","frc3478","131","18","35","Docked","NotLevel","41","61","Park","Level","3"
"7","40","red","frc2080","frc5965","frc4635","91","15","18","None","NotLevel","41","53","Docked","Level","2"
"8","48","blue","frc9309","frc3753","frc4635","93","9","20","Docked","NotLevel","40","48","Park","NotLevel","1"
"9","53","red","frc2183","frc4635","frc8808","124","10","28","None","Level","44","66","Docked","Level","4"
"10","63","blue","frc4635","frc7094","frc3606","113","18","24","None","Level","39","69","Park","Level","3"
"11","71","blue","frc4635","frc4107","frc7661","85","9","15","None","Level","44","50","Docked","NotLevel","0"
"12","75","red","frc4635","frc5997","frc1622","115","16","27","None","NotLevel","48","68","Docked","Level","4"
