"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc5563","frc125","frc190","79","12","30","None","Level","19","49","Docked","Level","1"
"2","11","red","frc5563","frc4176","frc5735","60","6","9","None","Level","19","41","Docked","Level","0"
"3","17","red","frc8708","frc2877","frc5563","97","10","16","None","Level","41","71","Docked","Level","1"
"4","21","red","frc5563","frc238","frc2084","100","6","24","None","Level","44","66","Docked","Level","1"
"5","30","red","frc5563","frc8567","frc5000","119","12","24","None","Level","50","80","Docked","Level","3"
"6","39","blue","frc4909","frc4169","frc5563","101","15","33","None","Level","33","53","Docked","Level","3"
"7","43","blue","frc3461","frc5563","frc3467","112","21","36","None","Level","29","51","Docked","Level","4"
"8","47","blue","frc8626","frc5459","frc5563","89","16","19","None","Level","25","55","Docked","Level","1"
"9","58","blue","frc1761","frc97","frc5563","61","6","6","None","NotLevel","28","50","Docked","Level","0"
"10","65","red","frc8013","frc5563","frc6201","103","15","30","None","Level","31","53","Docked","Level","1"
"11","72","red","frc4311","frc5563","frc5347","73","10","13","None","NotLevel","23","45","Docked","Level","0"
"12","77","blue","frc2067","frc5563","frc237","94","12","15","None","Level","34","64","Docked","Level","1"
