"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","blue","frc2713","frc69","frc78","87","3","6","None","Level","46","66","Docked","Level","2"
"2","8","red","frc175","frc78","frc2262","77","15","33","Docked","Level","17","29","Docked","Level","0"
"3","13","blue","frc1768","frc78","frc2648","129","0","15","Docked","Level","50","72","Docked","Level","4"
"4","19","blue","frc6367","frc78","frc61","98","12","30","Docked","Level","33","53","None","Level","3"
"5","22","red","frc7407","frc78","frc8013","128","18","39","Docked","Level","47","69","Docked","Level","3"
"6","30","red","frc78","frc6367","frc4906","83","6","27","Docked","Level","26","46","None","Level","3"
"7","34","red","frc78","frc4908","frc1965","73","6","24","Docked","Level","17","39","Docked","Level","1"
"8","39","blue","frc157","frc5962","frc78","79","12","29","Docked","NotLevel","20","40","Docked","Level","1"
"9","44","red","frc78","frc9286","frc6367","78","8","26","Docked","Level","22","42","Docked","Level","1"
"10","49","blue","frc3314","frc2342","frc78","128","11","32","Docked","Level","44","66","Docked","Level","4"
"11","54","red","frc125","frc88","frc78","101","15","36","Docked","Level","30","50","Docked","Level","3"
"12","58","red","frc78","frc126","frc6153","103","10","24","Docked","NotLevel","37","59","None","Level","3"
