"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc1761","frc4311","frc4761","40","7","10","None","Level","13","25","Docked","Level","0"
"2","8","red","frc3958","frc138","frc4311","88","6","18","None","Level","28","50","Docked","Level","1"
"3","18","red","frc4311","frc4176","frc5422","33","9","9","None","NotLevel","9","19","Park","NotLevel","0"
"4","24","red","frc4311","frc5735","frc348","67","9","24","None","Level","16","38","Park","Level","3"
"5","29","blue","frc4311","frc5347","frc2876","80","3","18","None","Level","30","52","Docked","Level","1"
"6","35","blue","frc5265","frc3205","frc4311","75","12","18","None","NotLevel","20","42","Park","Level","2"
"7","41","blue","frc3623","frc4311","frc1729","87","15","33","None","Level","22","44","Docked","Level","3"
"8","48","red","frc1768","frc3323","frc4311","114","6","27","None","Level","42","62","Docked","Level","4"
"9","57","red","frc4546","frc4311","frc6161","56","4","10","None","Level","14","36","Docked","Level","0"
"10","62","blue","frc4311","frc6201","frc1965","86","6","24","None","Level","20","42","Docked","Level","3"
"11","68","red","frc58","frc4311","frc3467","130","24","45","None","Level","33","55","Park","Level","4"
"12","79","blue","frc2084","frc172","frc4311","42","9","15","None","NotLevel","12","22","Park","NotLevel","0"
