"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","blue","frc3146","frc7127","frc7907","25","6","9","None","Level","6","16","None","Level","0"
"2","10","blue","frc467","frc4987","frc7127","96","6","24","None","Level","30","40","None","Level","2"
"3","17","blue","frc7127","frc177","frc8709","96","13","28","None","Level","33","53","None","Level","3"
"4","23","red","frc2523","frc9096","frc7127","25","3","6","None","Level","6","14","Docked","NotLevel","0"
"5","27","red","frc6723","frc7127","frc1699","86","7","25","None","Level","24","36","Docked","Level","0"
"6","35","blue","frc7127","frc571","frc6620","43","9","9","None","Level","10","24","Docked","Level","0"
"7","40","red","frc3719","frc7674","frc7127","68","6","9","None","NotLevel","27","49","None","Level","0"
"8","44","red","frc2168","frc61","frc7127","61","3","21","None","Level","13","35","None","Level","1"
"9","51","blue","frc7127","frc1071","frc1027","41","0","6","None","Level","8","30","None","Level","0"
"10","56","red","frc175","frc7127","frc1740","95","12","30","None","Level","25","45","None","Level","3"
"11","62","red","frc7127","frc1991","frc228","53","9","18","None","Level","8","20","None","Level","2"
"12","67","red","frc1735","frc7127","frc6895","75","16","34","None","Level","23","31","Docked","NotLevel","0"
