"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc4048","frc3205","frc7127","118","12","30","None","Level","43","63","Docked","Level","3"
"2","8","red","frc6324","frc173","frc7127","93","19","25","None","Level","28","48","Docked","Level","2"
"3","19","blue","frc5491","frc4905","frc7127","70","12","30","None","Level","18","18","None","NotLevel","0"
"4","24","blue","frc7127","frc4987","frc190","61","6","21","None","Level","22","30","Park","NotLevel","0"
"5","32","red","frc7127","frc1100","frc3958","106","16","34","None","Level","30","52","Park","Level","3"
"6","37","blue","frc8567","frc9101","frc7127","127","15","36","None","Level","44","66","Park","Level","3"
"7","41","blue","frc3623","frc7127","frc6333","41","6","12","None","NotLevel","19","29","Docked","NotLevel","0"
"8","50","red","frc7127","frc157","frc5422","94","18","39","None","Level","30","40","None","NotLevel","2"
"9","54","blue","frc2423","frc7127","frc2168","64","10","31","None","Level","15","23","Docked","NotLevel","0"
"10","67","blue","frc7127","frc2523","frc2079","70","12","18","None","Level","15","37","Docked","Level","0"
"11","72","red","frc6763","frc7127","frc716","94","15","33","None","Level","24","46","None","Level","3"
"12","76","blue","frc6690","frc7127","frc7907","49","6","9","None","Level","27","35","Park","NotLevel","0"
