"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc449","frc8622","frc8326","34","0","6","None","Level","16","28","Park","Level","0"
"2","11","red","frc8622","frc1731","frc1123","124","18","39","None","Level","40","60","Park","Level","3"
"3","18","blue","frc1446","frc836","frc8622","50","6","21","None","Level","2","24","Park","Level","3"
"4","23","red","frc2961","frc5830","frc8622","16","9","12","None","Level","2","4","Docked","Level","0"
"5","28","blue","frc8622","frc6863","frc1111","50","10","13","None","NotLevel","15","37","None","Level","0"
"6","32","red","frc4456","frc888","frc8622","81","10","25","None","Level","22","36","Docked","NotLevel","2"
"7","37","blue","frc4821","frc2199","frc8622","90","10","25","None","Level","30","50","None","Level","3"
"8","43","blue","frc8622","frc8514","frc4099","66","6","6","None","NotLevel","28","50","Docked","Level","0"
"9","49","blue","frc5549","frc8622","frc620","40","0","0","None","NotLevel","8","30","Park","Level","0"
"10","56","red","frc5841","frc8622","frc4638","35","0","3","None","Level","14","22","Park","NotLevel","2"
"11","62","blue","frc8622","frc5587","frc614","7","3","3","None","Level","4","4","Park","Level","0"
"12","69","red","frc6239","frc8622","frc5338","51","0","3","None","Level","21","43","Docked","Level","0"
