"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","red","frc2199","frc4821","frc3793","104","18","39","Docked","Level","28","50","Docked","Level","3"
"2","12","blue","frc2199","frc2849","frc8726","91","12","26","Docked","NotLevel","30","50","Park","Level","3"
"3","17","blue","frc2199","frc1727","frc8514","124","10","28","Docked","Level","49","71","Park","Level","4"
"4","24","red","frc7886","frc6239","frc2199","79","9","27","Docked","Level","29","37","Park","NotLevel","0"
"5","30","red","frc2199","frc9072","frc116","86","15","36","Docked","Level","23","45","Docked","Level","2"
"6","36","blue","frc1629","frc2199","frc3748","85","15","33","Docked","Level","20","42","Docked","Level","3"
"7","41","blue","frc888","frc2199","frc5830","101","18","39","Docked","Level","40","42","Docked","Level","2"
"8","46","red","frc5549","frc4541","frc2199","113","12","30","Docked","Level","49","63","Docked","NotLevel","2"
"9","50","blue","frc5115","frc2534","frc2199","114","12","33","Docked","Level","39","61","Docked","Level","1"
"10","56","red","frc5338","frc2199","frc6863","111","15","33","Docked","Level","41","63","Park","Level","3"
"11","66","red","frc1111","frc2199","frc1719","132","22","40","Docked","Level","45","67","Park","Level","4"
"12","71","red","frc2377","frc2186","frc2199","73","12","30","Docked","Level","8","38","Park","Level","1"
