"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc7174","frc3656","frc5531","101","12","30","None","Level","31","51","None","Level","3"
"2","10","blue","frc5531","frc5065","frc8427","55","0","3","None","Level","17","47","None","Level","1"
"3","17","blue","frc7660","frc5531","frc94","39","0","0","None","Level","22","24","Park","Level","0"
"4","21","blue","frc8519","frc5531","frc7220","70","3","15","None","Level","23","45","Docked","Level","3"
"5","29","blue","frc5531","frc8423","frc4362","113","12","26","None","NotLevel","61","67","None","NotLevel","3"
"6","34","red","frc5263","frc3667","frc5531","64","0","3","None","Level","31","51","Park","Level","0"
"7","42","red","frc5531","frc8124","frc8895","45","3","9","None","Level","14","36","Docked","Level","0"
"8","52","red","frc5531","frc1528","frc5050","38","6","12","None","NotLevel","6","26","None","Level","0"
"9","57","blue","frc66","frc5531","frc3604","84","6","27","None","Level","22","42","None","Level","3"
"10","61","red","frc9226","frc6618","frc5531","79","9","27","None","Level","15","37","None","Level","3"
"11","71","red","frc4405","frc5531","frc280","72","0","15","None","Level","25","47","Park","Level","1"
"12","77","blue","frc6538","frc9211","frc5531","38","3","9","None","Level","22","24","Docked","NotLevel","0"
