"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc3534","frc1506","frc5843","149","22","43","None","Level","54","76","Park","Level","4"
"2","9","red","frc1506","frc6152","frc27","168","18","39","Docked","Level","64","94","Park","Level","4"
"3","16","blue","frc1711","frc1506","frc4779","150","21","42","None","Level","56","78","Docked","Level","4"
"4","25","red","frc1506","frc7790","frc7166","160","28","46","None","Level","57","79","Docked","Level","4"
"5","32","blue","frc1506","frc3656","frc5535","141","18","36","Docked","Level","58","80","Park","Level","2"
"6","38","red","frc6090","frc4381","frc1506","188","31","48","None","NotLevel","65","95","Docked","Level","4"
"7","43","blue","frc5612","frc5436","frc1506","126","16","33","None","NotLevel","46","68","Docked","Level","2"
"8","52","blue","frc7054","frc1506","frc9215","118","15","36","None","Level","40","62","Docked","Level","2"
"9","58","red","frc3875","frc7220","frc1506","115","12","26","None","NotLevel","44","64","Park","Level","3"
"10","67","red","frc3539","frc1506","frc4405","134","21","27","None","Level","47","77","Park","Level","4"
"11","73","red","frc1506","frc68","frc2620","136","25","46","None","Level","43","65","Docked","Level","3"
"12","77","blue","frc3414","frc217","frc1506","122","24","42","Docked","Level","48","60","Docked","NotLevel","1"
