"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc2620","frc7856","frc4680","87","3","6","None","NotLevel","27","49","Docked","Level","2"
"2","12","blue","frc2048","frc7856","frc8352","43","7","13","None","Level","13","25","None","Level","0"
"3","17","blue","frc8774","frc7188","frc7856","65","9","15","None","Level","21","35","Park","Level","0"
"4","23","red","frc7196","frc7856","frc5756","28","3","6","None","Level","2","22","Docked","Level","0"
"5","29","blue","frc4768","frc503","frc7856","63","6","27","None","Level","14","36","Docked","Level","1"
"6","36","red","frc7856","frc6099","frc3414","97","6","24","None","Level","31","53","Docked","Level","3"
"7","41","blue","frc6096","frc2673","frc7856","51","3","6","None","Level","18","40","None","Level","2"
"8","46","red","frc123","frc4838","frc7856","56","9","21","None","Level","19","25","Park","NotLevel","0"
"9","59","red","frc7856","frc8280","frc5467","50","11","19","None","NotLevel","18","26","Docked","NotLevel","0"
"10","64","blue","frc7856","frc2591","frc7692","58","6","9","None","Level","9","29","None","Level","2"
"11","68","red","frc815","frc7856","frc6616","43","9","24","None","Level","6","14","Park","NotLevel","0"
"12","74","red","frc7856","frc9255","frc2224","57","4","19","None","Level","11","33","Docked","Level","1"
