"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc8728","frc201","frc7145","72","7","15","Docked","NotLevel","12","42","Docked","Level","3"
"2","13","blue","frc201","frc5467","frc9182","71","3","15","Docked","Level","9","31","Docked","Level","3"
"3","18","red","frc9250","frc201","frc217","127","12","30","Docked","Level","26","48","Docked","Level","3"
"4","26","blue","frc5577","frc3632","frc201","47","3","11","Docked","NotLevel","12","26","Docked","Level","0"
"5","30","blue","frc1189","frc201","frc5555","98","9","24","None","Level","37","59","Park","Level","3"
"6","35","blue","frc201","frc5478","frc4854","55","6","24","Docked","Level","11","19","Park","NotLevel","0"
"7","42","red","frc3096","frc313","frc201","68","12","15","None","NotLevel","21","43","None","Level","2"
"8","46","red","frc6029","frc3539","frc201","74","12","24","None","Level","22","30","Docked","NotLevel","0"
"9","59","blue","frc201","frc226","frc5498","71","9","20","Docked","NotLevel","12","26","Docked","NotLevel","2"
"10","65","red","frc4768","frc8280","frc201","54","7","25","None","Level","23","29","Docked","NotLevel","0"
"11","72","blue","frc201","frc5532","frc469","74","9","17","None","NotLevel","25","47","Docked","Level","3"
"12","78","red","frc9207","frc201","frc3572","100","10","24","None","NotLevel","26","56","Docked","Level","3"
