"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc8382","frc6558","frc4835","46","0","3","None","Level","17","31","Park","Level","0"
"2","10","red","frc6558","frc7826","frc5505","50","3","3","None","Level","22","42","Park","Level","0"
"3","14","red","frc6558","frc6077","frc6088","43","3","6","None","Level","21","27","None","NotLevel","0"
"4","22","red","frc6558","frc9249","frc6637","85","6","21","None","Level","32","54","Park","Level","3"
"5","26","red","frc4391","frc6558","frc573","52","0","0","None","Level","20","42","Park","Level","0"
"6","38","red","frc6558","frc6569","frc7154","69","10","13","None","NotLevel","24","46","Park","Level","2"
"7","42","blue","frc5314","frc4375","frc6558","33","0","11","None","NotLevel","16","22","Park","NotLevel","0"
"8","51","blue","frc7713","frc6558","frc2586","33","0","3","None","Level","19","25","Park","NotLevel","0"
"9","57","blue","frc6112","frc7768","frc6558","75","9","24","None","Level","32","34","Park","NotLevel","0"
"10","61","blue","frc5486","frc6558","frc6079","60","0","6","None","Level","22","44","Park","Level","0"
"11","69","blue","frc1596","frc3602","frc6558","39","0","0","None","Level","25","29","None","Level","0"
"12","75","blue","frc5706","frc5213","frc6558","58","0","6","None","Level","15","37","Park","Level","0"
