"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","red","frc85","frc7226","frc5424","66","12","30","None","Level","21","31","None","Level","0"
"2","12","blue","frc6877","frc7818","frc5424","52","6","9","None","Level","18","28","Docked","NotLevel","0"
"3","17","red","frc3603","frc5424","frc8612","57","9","15","None","NotLevel","17","37","None","Level","0"
"4","23","red","frc5424","frc7855","frc2054","83","12","18","None","NotLevel","40","50","Docked","NotLevel","2"
"5","28","blue","frc5424","frc2771","frc1918","72","12","26","None","NotLevel","27","41","Docked","NotLevel","0"
"6","35","red","frc5424","frc1711","frc7256","62","3","18","Docked","Level","20","34","Docked","NotLevel","0"
"7","42","blue","frc6033","frc5424","frc4967","98","9","15","None","NotLevel","36","58","None","Level","2"
"8","52","blue","frc7202","frc5424","frc3688","110","18","39","None","Level","34","56","Docked","Level","3"
"9","59","blue","frc5878","frc5424","frc6122","62","9","27","Docked","Level","20","30","None","Level","2"
"10","63","red","frc4377","frc5086","frc5424","87","12","30","None","Level","35","47","Docked","Level","0"
"11","71","red","frc3767","frc7289","frc5424","109","4","22","None","Level","32","52","None","Level","3"
"12","77","blue","frc5424","frc5227","frc7054","100","15","36","None","Level","27","49","Docked","Level","3"
