"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","blue","frc8297","frc9210","frc5066","93","6","21","Docked","Level","20","40","Docked","Level","3"
"2","13","red","frc7660","frc5066","frc3322","79","14","32","Docked","Level","15","37","Park","Level","3"
"3","17","blue","frc2611","frc9312","frc5066","89","15","21","None","Level","34","48","Park","Level","2"
"4","24","red","frc8522","frc6556","frc5066","66","6","21","Docked","Level","23","45","Docked","Level","1"
"5","32","blue","frc5066","frc8300","frc2832","97","6","12","None","Level","35","65","Docked","Level","3"
"6","36","red","frc1023","frc7197","frc5066","85","6","24","None","Level","29","51","Docked","Level","3"
"7","42","blue","frc5066","frc1502","frc5090","46","9","15","None","NotLevel","6","26","Park","Level","0"
"8","49","red","frc9183","frc5066","frc5676","116","12","30","Docked","Level","25","47","Docked","Level","3"
"9","55","red","frc7656","frc5066","frc7221","40","6","21","Docked","Level","13","19","Docked","NotLevel","0"
"10","60","blue","frc7166","frc5066","frc8373","94","13","28","Docked","Level","24","46","Park","Level","2"
"11","70","blue","frc5066","frc6570","frc4381","117","28","46","Docked","Level","29","51","Park","Level","3"
"12","76","red","frc5066","frc2834","frc5559","64","10","28","None","Level","21","31","Docked","Level","2"
