"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc5860","frc5603","frc453","39","0","11","None","NotLevel","6","28","Park","Level","1"
"2","12","blue","frc68","frc453","frc247","53","12","20","None","NotLevel","6","28","Park","Level","1"
"3","19","blue","frc8426","frc453","frc3568","48","10","16","None","Level","17","27","Park","NotLevel","0"
"4","24","blue","frc453","frc1076","frc2137","30","0","0","None","Level","5","25","Park","Level","0"
"5","29","blue","frc453","frc5562","frc3098","17","0","3","None","Level","12","14","Park","Level","0"
"6","34","red","frc453","frc7772","frc1684","55","4","19","None","Level","27","31","None","NotLevel","0"
"7","40","red","frc6085","frc453","frc9237","21","0","0","None","Level","7","21","Park","Level","0"
"8","48","blue","frc3534","frc453","frc322","46","0","0","None","Level","14","36","Park","Level","0"
"9","54","red","frc453","frc7762","frc5235","49","0","3","None","Level","14","36","Park","Level","0"
"10","63","red","frc5150","frc5183","frc453","35","0","3","None","NotLevel","17","27","Park","Level","0"
"11","69","blue","frc6098","frc830","frc453","45","3","18","None","Level","12","22","Park","NotLevel","0"
"12","73","red","frc4779","frc5166","frc453","124","18","36","None","Level","41","63","Park","Level","3"
