"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc6090","frc8126","frc2405","100","12","30","None","Level","33","55","Docked","Level","3"
"2","7","blue","frc858","frc216","frc8126","102","10","28","None","Level","42","64","Docked","Level","3"
"3","14","red","frc6097","frc8126","frc7810","66","12","27","Docked","Level","24","34","Docked","NotLevel","0"
"4","20","red","frc9206","frc7248","frc8126","80","9","20","Docked","NotLevel","28","50","Docked","Level","1"
"5","28","red","frc3458","frc8126","frc2771","96","18","39","None","Level","27","37","Docked","NotLevel","2"
"6","39","red","frc4391","frc9106","frc8126","148","10","31","None","Level","62","92","Docked","Level","4"
"7","43","blue","frc8126","frc7911","frc8397","62","8","19","Docked","NotLevel","21","33","Park","Level","0"
"8","50","blue","frc4004","frc3875","frc8126","105","15","33","None","Level","40","62","Docked","Level","3"
"9","57","red","frc8126","frc5056","frc8767","103","12","30","Docked","Level","41","63","Docked","Level","3"
"10","62","red","frc7808","frc8126","frc7809","68","6","24","Docked","Level","17","39","Docked","Level","3"
"11","71","blue","frc8126","frc6005","frc5260","82","12","27","None","Level","20","50","Docked","Level","3"
"12","75","blue","frc8126","frc3546","frc5623","125","6","24","Docked","Level","46","76","Docked","Level","4"
