"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc5436","frc6610","frc4994","79","6","9","None","Level","30","60","Docked","Level","3"
"2","8","red","frc5436","frc5260","frc1701","43","6","6","None","Level","10","32","Docked","Level","0"
"3","14","blue","frc5660","frc5282","frc5436","98","10","16","None","NotLevel","45","67","None","Level","2"
"4","21","red","frc7491","frc5436","frc9207","90","0","6","None","Level","32","62","Docked","Level","3"
"5","27","blue","frc9251","frc8767","frc5436","40","0","15","Docked","Level","20","20","Docked","NotLevel","0"
"6","38","red","frc70","frc5436","frc7784","88","6","17","Docked","NotLevel","41","61","Docked","Level","1"
"7","45","red","frc6102","frc8193","frc5436","63","0","12","Docked","Level","26","46","Docked","Level","1"
"8","50","blue","frc5460","frc4998","frc5436","155","18","39","None","Level","47","67","Park","Level","4"
"9","57","blue","frc5193","frc5436","frc6631","52","0","3","None","NotLevel","29","49","Docked","Level","0"
"10","63","red","frc5436","frc894","frc6067","79","4","18","Docked","NotLevel","29","51","Docked","Level","3"
"11","67","red","frc8728","frc5436","frc245","53","6","17","Docked","NotLevel","14","26","None","Level","0"
"12","73","blue","frc5436","frc5641","frc322","85","6","23","None","NotLevel","32","52","Docked","Level","3"
